dish,calories,fat,carb,carbs,protein,serving,source
almond,578.1,49.5,22.7,22.7,22.4,100.0,alias of: almonds
almonds,578.1,49.5,22.7,22.7,22.4,100.0,converted from uploaded ingredient CSV (per 100g median)
apple,52.0,0.2,14.0,14.0,0.3,100.0,manual classifier-label match (approx per 100g)
apples,52.0,0.2,14.0,14.0,0.3,100.0,alias of: apple
artichok,47.0,0.2,11.0,11.0,3.3,100.0,alias of: artichokes
artichokes,47.0,0.2,11.0,11.0,3.3,100.0,converted from uploaded ingredient CSV (per 100g median)
arugula,25.0,0.7,3.7,3.7,2.6,100.0,converted from uploaded ingredient CSV (per 100g median)
arugulas,25.0,0.7,3.7,3.7,2.6,100.0,alias of: arugula
asparagu,20.4,0.1,3.9,3.9,2.2,100.0,alias of: asparagus
asparagus,20.4,0.1,3.9,3.9,2.2,100.0,converted from uploaded ingredient CSV (per 100g median)
avocado,160.0,15.0,9.0,9.0,2.0,100.0,converted from uploaded ingredient CSV (per 100g median)
avocados,160.0,15.0,9.0,9.0,2.0,100.0,alias of: avocado
baby carrot,41.0,0.2,10.0,10.0,0.9,100.0,alias of: baby carrots
baby carrots,41.0,0.2,10.0,10.0,0.9,100.0,converted from uploaded ingredient CSV (per 100g median)
bacon,541.0,42.0,1.4,1.4,37.0,100.0,converted from uploaded ingredient CSV (per 100g median)
bacons,541.0,42.0,1.4,1.4,37.0,100.0,alias of: bacon
bagel,250.0,1.5,48.0,48.0,10.0,100.0,manual classifier-label match (approx per 100g)
bagels,250.0,1.5,49.0,49.0,10.1,100.0,converted from uploaded ingredient CSV (per 100g median)
banana,89.0,0.3,23.0,23.0,1.1,100.0,manual classifier-label match (approx per 100g)
banana with peel,55.6,0.2,14.4,14.4,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
banana with peels,55.6,0.2,14.4,14.4,0.7,100.0,alias of: banana with peel
bananas,89.0,0.3,23.0,23.0,1.1,100.0,alias of: banana
basil,24.0,0.0,2.0,2.0,4.0,100.0,converted from uploaded ingredient CSV (per 100g median)
basils,24.0,0.0,2.0,2.0,4.0,100.0,alias of: basil
bean,140.0,0.6,24.0,24.0,9.0,100.0,cleaned alias of: bean(seed)
bean(seed),140.0,0.6,24.0,24.0,9.0,100.0,converted from uploaded ingredient CSV (per 100g median)
bean(seed)s,140.0,0.6,24.0,24.0,9.0,100.0,alias of: bean(seed)
beef,250.0,15.0,0.0,0.0,26.0,100.0,converted from uploaded ingredient CSV (per 100g median)
beefs,250.0,15.0,0.0,0.0,26.0,100.0,alias of: beef
beet,44.0,0.2,10.0,10.0,1.7,100.0,alias of: beets
beets,44.0,0.2,10.0,10.0,1.7,100.0,converted from uploaded ingredient CSV (per 100g median)
bell pepper,31.0,0.3,6.0,6.0,1.0,100.0,manual classifier-label match (approx per 100g)
bell peppers,40.0,0.2,9.0,9.0,2.0,100.0,converted from uploaded ingredient CSV (per 100g median)
berries,57.0,0.3,14.0,14.0,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
berry,57.0,0.3,14.0,14.0,0.7,100.0,alias of: berries
biscuit,352.5,16.2,44.7,44.7,7.0,100.0,alias of: biscuits
biscuits,352.5,16.2,44.7,44.7,7.0,100.0,converted from uploaded ingredient CSV (per 100g median)
black bean,132.0,0.5,23.7,23.7,8.9,100.0,alias of: black beans
black beans,132.0,0.5,23.7,23.7,8.9,100.0,converted from uploaded ingredient CSV (per 100g median)
blackberries,43.0,0.5,9.2,9.2,1.4,100.0,converted from uploaded ingredient CSV (per 100g median)
blackberry,43.0,0.5,9.2,9.2,1.4,100.0,alias of: blackberries
blue cheese,353.0,29.0,2.3,2.3,21.0,100.0,converted from uploaded ingredient CSV (per 100g median)
blue cheeses,353.0,29.0,2.3,2.3,21.0,100.0,alias of: blue cheese
blueberries,57.2,0.3,14.4,14.4,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
blueberry,57.2,0.3,14.4,14.4,0.7,100.0,alias of: blueberries
bok choy,13.0,0.2,2.2,2.2,1.5,100.0,converted from uploaded ingredient CSV (per 100g median)
bok choys,13.0,0.2,2.2,2.2,1.5,100.0,alias of: bok choy
